date,service_type,region,provider,cpu_hours,storage_gb,data_transfer_gb,cost_usd,team,co2e_kg
01-01-2024,Networking,eastus,Azure,1.5416,9.8138,11.9013,2.0098,Data,0.012229247600000001
01-01-2024,Networking,eastus,Azure,1.7536,12.1936,43.8484,4.5575,QA,0.0442235072
01-01-2024,VM,westeurope,AWS,12.6662,44.2402,8.3419,3.0596,Engineering,0.0109636204
01-01-2024,Database,westeurope,AWS,5.948,202.8538,5.997,2.4443,Engineering,0.0075923076
01-01-2024,VM,eastus,AWS,15.3907,52.7984,7.0725,2.3713,DevOps,0.0102562368
02-01-2024,VM,westeurope,AWS,8.5237,55.5385,8.4113,1.93,Engineering,0.010227117
02-01-2024,VM,eastus,AWS,14.3211,45.9639,4.768,3.0085,Engineering,0.0077241478
02-01-2024,VM,southeastasia,AWS,9.3582,44.9231,9.468,1.8496,QA,0.011429486200000002
02-01-2024,Networking,westeurope,Azure,1.8964,9.0648,16.4266,2.2353,DevOps,0.0168240096
02-01-2024,VM,eastus,Azure,15.2989,49.4599,10.4085,2.508,Data,0.013567199800000002
02-01-2024,Networking,westeurope,Azure,3.6861,8.6194,26.4123,3.3304,DevOps,0.0271667588
03-01-2024,Database,eastus,Azure,5.9087,208.9295,3.4578,2.6046,DevOps,0.005057399000000001
03-01-2024,VM,southeastasia,Azure,12.8792,56.7247,6.5352,2.8912,DevOps,0.0092244894
03-01-2024,VM,eastus,Azure,11.0515,47.5428,5.9322,3.8679,Engineering,0.0082375856
03-01-2024,VM,westeurope,AWS,9.3891,46.2002,4.8561,3.1542,Engineering,0.0068263204
03-01-2024,VM,eastus,AWS,20.831,34.313,11.033,2.6814,Engineering,0.015267825999999998
04-01-2024,Database,eastus,AWS,6.0903,273.8973,4.7115,1.7886,Engineering,0.0064773546000000005
04-01-2024,Storage,southeastasia,AWS,0.5377,706.9597,2.4639,3.1101,DevOps,0.0039853594
04-01-2024,VM,westeurope,Azure,9.0284,45.7528,8.2392,3.4039,Data,0.0101363856
04-01-2024,VM,westeurope,AWS,10.4896,54.0225,5.8047,2.5342,Data,0.008010665
05-01-2024,Networking,westeurope,Azure,2.9362,10.5946,24.3695,5.2977,Engineering,0.0249779292
05-01-2024,Storage,eastus,Azure,0.4347,920.0583,2.0915,1.8862,QA,0.004018556600000001
05-01-2024,VM,westeurope,Azure,14.762,48.2996,9.5673,3.5584,QA,0.0126162992
05-01-2024,VM,southeastasia,Azure,15.3081,48.9276,3.357,2.6955,Engineering,0.0065164752
06-01-2024,VM,westeurope,AWS,9.5099,59.5129,5.0188,2.8746,Engineering,0.0070398058
06-01-2024,VM,eastus,AWS,10.0216,49.4217,4.8188,3.6827,Engineering,0.006921963400000001
06-01-2024,Storage,westeurope,AWS,0.1242,795.8564,0.4222,1.2149,Data,0.0020387528
07-01-2024,VM,southeastasia,AWS,10.1315,52.4542,5.2158,3.8786,Engineering,0.0073470084000000005
07-01-2024,VM,westeurope,Azure,6.5476,46.4356,2.5375,2.2915,QA,0.0039398912
07-01-2024,VM,eastus,Azure,4.7594,41.3921,7.335,2.0558,QA,0.0083696642
08-01-2024,Database,westeurope,Azure,3.9335,171.8652,5.7726,3.5078,DevOps,0.0069030304
08-01-2024,Database,westeurope,AWS,6.7707,239.9264,6.4823,3.5818,DevOps,0.008316292800000001
08-01-2024,Database,eastus,AWS,5.272,202.4562,8.472,2.3871,Engineering,0.0099313124
08-01-2024,Storage,eastus,AWS,0.2666,692.8256,1.7991,2.5115,DevOps,0.0032380712
09-01-2024,VM,southeastasia,AWS,10.8764,40.3159,6.1628,1.9395,DevOps,0.0084187118
09-01-2024,Database,westeurope,AWS,6.6335,247.7895,4.3491,2.0269,Engineering,0.006171378999999999
09-01-2024,VM,eastus,AWS,7.3535,47.4265,8.4413,2.9408,DevOps,0.010006853000000001
10-01-2024,Storage,westeurope,AWS,0.5722,952.0293,1.5754,1.4351,Engineering,0.0035938986
10-01-2024,VM,eastus,AWS,11.2878,64.04,7.9533,2.9904,QA,0.010338940000000001
10-01-2024,VM,eastus,AWS,9.2022,46.6997,8.3138,2.6623,Data,0.010247639400000001
10-01-2024,Storage,westeurope,Azure,0.4747,807.3076,2.3883,2.7954,DevOps,0.0040978552
10-01-2024,VM,westeurope,AWS,12.3783,48.8616,9.412,4.3817,Data,0.011985383200000001
10-01-2024,Database,eastus,AWS,5.2704,206.2279,6.3275,1.5387,Engineering,0.0077940358
11-01-2024,VM,eastus,Azure,10.6064,53.3649,7.811,3.1229,Engineering,0.0100390098
11-01-2024,Storage,westeurope,Azure,0.454,734.2732,2.6262,2.7258,DevOps,0.0041855464
11-01-2024,VM,westeurope,Azure,12.6869,54.7464,2.59,2.6254,Engineering,0.0052368728
11-01-2024,VM,eastus,AWS,13.1761,49.0661,7.5195,3.0794,Engineering,0.0102528522
12-01-2024,Storage,eastus,AWS,0.7531,892.4814,2.4002,3.4105,DevOps,0.0043357828
12-01-2024,VM,eastus,AWS,14.9254,48.8971,6.0188,2.1531,Data,0.0091016742
12-01-2024,Networking,westeurope,AWS,1.8393,9.35,31.8344,5.5152,Engineering,0.03222096
12-01-2024,Networking,eastus,AWS,1.276,7.8888,23.534,4.6282,QA,0.0238049776
